.y.,n,statistic,df,p,method,Variable,Distance
Score,10,1.103448276,2,0.575955926,Friedman test,RPE,0km
Score,10,1.448275862,2,0.48474227,Friedman test,RPE,5km
Score,10,0.642857143,2,0.725112422,Friedman test,RPE,10km
Score,10,0,2,1,Friedman test,RPE,15km
Score,10,1.357142857,2,0.507341248,Friedman test,RPE,20km
Score,10,3,2,0.22313016,Friedman test,COMFORT_WHOLEBODY,0km
Score,10,4.571428571,2,0.101701392,Friedman test,COMFORT_WHOLEBODY,5km
Score,10,9,2,0.011108997,Friedman test,COMFORT_WHOLEBODY,10km
Score,10,8.538461538,2,0.013992543,Friedman test,COMFORT_WHOLEBODY,15km
Score,10,8.896551724,2,0.01169872,Friedman test,COMFORT_WHOLEBODY,20km
Score,10,15.5,2,4.31E-04,Friedman test,COMFORT_LOCAL,0km
Score,10,5.473684211,2,0.064774576,Friedman test,COMFORT_LOCAL,5km
Score,10,5.428571429,2,0.066252259,Friedman test,COMFORT_LOCAL,10km
Score,10,3.894736842,2,0.14264897,Friedman test,COMFORT_LOCAL,15km
Score,10,4.903225806,2,0.086154515,Friedman test,COMFORT_LOCAL,20km
Score,10,3.5,2,0.173773943,Friedman test,SENSATION_WHOLEBODY,0km
Score,10,9.652173913,2,0.008017834,Friedman test,SENSATION_WHOLEBODY,5km
Score,10,8.857142857,2,0.011931523,Friedman test,SENSATION_WHOLEBODY,10km
Score,10,6.740740741,2,0.034376903,Friedman test,SENSATION_WHOLEBODY,15km
Score,10,5.615384615,2,0.060344087,Friedman test,SENSATION_WHOLEBODY,20km
Score,10,18.54054054,2,9.42E-05,Friedman test,SENSATION_LOCAL,0km
Score,10,17.21052632,2,1.83E-04,Friedman test,SENSATION_LOCAL,5km
Score,10,18.54054054,2,9.42E-05,Friedman test,SENSATION_LOCAL,10km
Score,10,18,2,1.23E-04,Friedman test,SENSATION_LOCAL,15km
Score,10,17.8974359,2,1.30E-04,Friedman test,SENSATION_LOCAL,20km
